rank,title,rating,votes,genres,duration_min,content_rating,year,country,actors,url
156,Finding Nemo,8.2,1159793,"['Animation', 'Adventure', 'Comedy']",100,G,,,[],https://www.imdb.com/title/tt0266543/
157,Hauru no ugoku shiro,8.2,482928,"['Animation', 'Adventure', 'Family']",119,PG,,,[],https://www.imdb.com/title/tt0347149/
158,The Great Escape,8.2,268559,"['Adventure', 'Drama', 'Thriller']",172,Approved,,,[],https://www.imdb.com/title/tt0057115/
159,Monty Python and the Holy Grail,8.2,587703,"['Adventure', 'Comedy', 'Fantasy']",91,PG,,,[],https://www.imdb.com/title/tt0071853/
160,The Elephant Man,8.2,272717,"['Biography', 'Drama']",124,PG,,,[],https://www.imdb.com/title/tt0080678/
161,Dial M for Murder,8.2,197793,"['Crime', 'Drama', 'Mystery']",105,PG,,,[],https://www.imdb.com/title/tt0046912/
162,Klaus,8.2,214224,"['Animation', 'Adventure', 'Comedy']",96,PG,,,[],https://www.imdb.com/title/tt4729430/
163,Gone with the Wind,8.2,346343,"['Drama', 'Romance', 'War']",238,G,,,[],https://www.imdb.com/title/tt0031381/
164,Rashômon,8.2,189327,"['Crime', 'Drama', 'Mystery']",88,Not Rated,,,[],https://www.imdb.com/title/tt0042876/
165,Chinatown,8.1,364865,"['Drama', 'Mystery', 'Thriller']",130,R,,,[],https://www.imdb.com/title/tt0071315/
166,El secreto de sus ojos,8.2,232648,"['Drama', 'Mystery', 'Romance']",129,R,,,[],https://www.imdb.com/title/tt1305806/
167,"Lock, Stock and Two Smoking Barrels",8.1,634989,"['Comedy', 'Crime']",107,R,,,[],https://www.imdb.com/title/tt0120735/
168,V for Vendetta,8.1,1214708,"['Action', 'Drama', 'Sci-Fi']",132,R,,,[],https://www.imdb.com/title/tt0434409/
169,Inside Out,8.1,866943,"['Animation', 'Adventure', 'Comedy']",95,PG,,,[],https://www.imdb.com/title/tt2096673/
170,"Three Billboards Outside Ebbing, Missouri",8.1,582781,"['Comedy', 'Crime', 'Drama']",115,R,,,[],https://www.imdb.com/title/tt5027774/
171,The Bridge on the River Kwai,8.1,241814,"['Adventure', 'Drama', 'War']",161,PG,,,[],https://www.imdb.com/title/tt0050212/
172,Trainspotting,8.1,749232,['Drama'],93,R,,,[],https://www.imdb.com/title/tt0117951/
173,Catch Me If You Can,8.1,1164387,"['Biography', 'Crime', 'Drama']",141,PG-13,,,[],https://www.imdb.com/title/tt0264464/
174,Raging Bull,8.1,395555,"['Biography', 'Drama', 'Sport']",129,R,,,[],https://www.imdb.com/title/tt0081398/
175,The Wild Robot,8.2,167328,"['Animation', 'Sci-Fi']",102,PG,,,[],https://www.imdb.com/title/tt29623480/
176,Fargo,8.1,756120,"['Crime', 'Drama', 'Thriller']",98,R,,,[],https://www.imdb.com/title/tt0116282/
177,Warrior,8.1,514286,"['Action', 'Drama', 'Sport']",140,PG-13,,,[],https://www.imdb.com/title/tt1291584/
178,Harry Potter and the Deathly Hallows - Part 2,8.1,997087,"['Adventure', 'Family', 'Fantasy']",130,PG-13,,,[],https://www.imdb.com/title/tt1201607/
179,Gran Torino,8.1,839031,['Drama'],116,R,,,[],https://www.imdb.com/title/tt1205489/
180,Million Dollar Baby,8.1,746097,"['Drama', 'Sport']",132,PG-13,,,[],https://www.imdb.com/title/tt0405159/
181,Ben-Hur,8.1,263374,"['Adventure', 'Drama']",212,G,,,[],https://www.imdb.com/title/tt0052618/
182,Mad Max: Fury Road,8.1,1164909,"['Action', 'Adventure', 'Sci-Fi']",120,R,,,[],https://www.imdb.com/title/tt1392190/
183,Tonari no Totoro,8.1,407353,"['Animation', 'Comedy', 'Family']",86,G,,,[],https://www.imdb.com/title/tt0096283/
184,Spider-Man: No Way Home,8.2,950945,"['Action', 'Adventure', 'Fantasy']",148,PG-13,,,[],https://www.imdb.com/title/tt10872600/
185,Barry Lyndon,8.1,193204,"['Adventure', 'Drama', 'War']",185,PG,,,[],https://www.imdb.com/title/tt0072684/
186,Dead Poets Society,8.1,590803,"['Comedy', 'Drama']",128,PG,,,[],https://www.imdb.com/title/tt0097165/
187,Bacheha-ye aseman,8.2,85701,"['Drama', 'Family', 'Sport']",89,PG,,,[],https://www.imdb.com/title/tt0118849/
188,12 Years a Slave,8.1,764522,"['Biography', 'Drama', 'History']",134,R,,,[],https://www.imdb.com/title/tt2024544/
189,Before Sunrise,8.1,358872,"['Comedy', 'Drama', 'Romance']",101,R,,,[],https://www.imdb.com/title/tt0112471/
190,The Grand Budapest Hotel,8.1,926199,"['Comedy', 'Drama']",99,R,,,[],https://www.imdb.com/title/tt2278388/
191,Hacksaw Ridge,8.1,636965,"['Biography', 'Drama', 'History']",139,R,,,[],https://www.imdb.com/title/tt2119532/
192,Blade Runner,8.1,853905,"['Action', 'Drama', 'Sci-Fi']",117,R,,,[],https://www.imdb.com/title/tt0083658/
193,Gone Girl,8.1,1120613,"['Drama', 'Mystery', 'Thriller']",149,R,,,[],https://www.imdb.com/title/tt2267998/
194,Salinui chueok,8.1,240996,"['Crime', 'Drama', 'Mystery']",132,Not Rated,,,[],https://www.imdb.com/title/tt0353969/
195,Ratatouille,8.1,884734,"['Animation', 'Adventure', 'Comedy']",111,G,,,[],https://www.imdb.com/title/tt0382932/
196,"Monsters, Inc.",8.1,1027474,"['Animation', 'Adventure', 'Comedy']",92,G,,,[],https://www.imdb.com/title/tt0198781/
197,In the Name of the Father,8.1,195881,"['Biography', 'Crime', 'Drama']",133,R,,,[],https://www.imdb.com/title/tt0107207/
198,How to Train Your Dragon,8.1,843563,"['Animation', 'Action', 'Adventure']",98,PG,,,[],https://www.imdb.com/title/tt0892769/
199,Relatos salvajes,8.1,228430,"['Comedy', 'Drama', 'Thriller']",122,R,,,[],https://www.imdb.com/title/tt3011894/
200,The Gold Rush,8.1,123819,"['Adventure', 'Comedy', 'Drama']",95,Approved,,,[],https://www.imdb.com/title/tt0015864/
201,Sherlock Jr.,8.2,61957,"['Action', 'Comedy', 'Romance']",45,Passed,,,[],https://www.imdb.com/title/tt0015324/
202,Jaws,8.1,694053,"['Adventure', 'Drama', 'Horror']",124,PG,,,[],https://www.imdb.com/title/tt0073195/
203,Mary and Max.,8.1,195945,"['Animation', 'Comedy', 'Drama']",92,Not Rated,,,[],https://www.imdb.com/title/tt0978762/
204,The Deer Hunter,8.1,375470,"['Drama', 'War']",183,R,,,[],https://www.imdb.com/title/tt0077416/
205,Ford v Ferrari,8.1,522464,"['Action', 'Biography', 'Drama']",152,PG-13,,,[],https://www.imdb.com/title/tt1950186/
206,The General,8.1,102673,"['Action', 'Adventure', 'Comedy']",78,Passed,,,[],https://www.imdb.com/title/tt0017925/
207,Le salaire de la peur,8.1,70400,"['Adventure', 'Drama', 'Thriller']",156,Not Rated,,,[],https://www.imdb.com/title/tt0046268/
208,Mr. Smith Goes to Washington,8.1,125938,"['Comedy', 'Drama']",129,Approved,,,[],https://www.imdb.com/title/tt0031679/
209,On the Waterfront,8.1,172268,"['Crime', 'Drama', 'Thriller']",108,Approved,,,[],https://www.imdb.com/title/tt0047296/
210,Smultronstället,8.1,120424,"['Drama', 'Romance']",92,Not Rated,,,[],https://www.imdb.com/title/tt0050986/
211,Logan,8.1,889507,"['Action', 'Drama', 'Sci-Fi']",137,R,,,[],https://www.imdb.com/title/tt3315342/
212,Rocky,8.1,659703,"['Drama', 'Sport']",120,PG,,,[],https://www.imdb.com/title/tt0075148/
213,The Third Man,8.1,189676,"['Drama', 'Film-Noir', 'Mystery']",104,Approved,,,[],https://www.imdb.com/title/tt0041959/
214,Tôkyô monogatari,8.1,73870,['Drama'],137,Not Rated,,,[],https://www.imdb.com/title/tt0046438/
215,Ainda Estou Aqui,8.3,107293,"['Biography', 'Drama', 'History']",137,PG-13,,,[],https://www.imdb.com/title/tt14961016/
216,Spotlight,8.1,518621,"['Biography', 'Crime', 'Drama']",129,R,,,[],https://www.imdb.com/title/tt1895587/
217,The Big Lebowski,8.1,890233,"['Comedy', 'Crime']",117,R,,,[],https://www.imdb.com/title/tt0118715/
